idx,user_query,detected_intent,agent_response,source_links,is_in_scope_and_correct
24,氣壓臂張力要怎麼調？,FAQ,"您好！關於氣壓臂張力的調整，請您在安裝完成後，使用隨附的六角扳手，順時針或逆時針方向進行微調。

調整時請務必逐步進行，每次轉動不超過太多圈數，直到螢幕能夠穩定停在您常用的高度即可。",,
25,沒有 VESA 孔怎麼裝？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-WALL-ARM-34,
26,家裡有小孩，使用安全要注意什麼？,FAQ,"您好！關於家中有小孩使用上的安全注意事項，我們有以下建議：

為了確保使用安全，建議您在夾具處加裝保護墊片，以避免桌面刮傷。同時，請務必避免孩童攀爬或懸掛螢幕臂，並請定期檢查螺絲的鎖固狀況，確保其穩固。",,
27,壁掛需要什麼牆面條件？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49,
28,要申請 RMA 維修怎麼做？,FAQ,請備妥訂單編號與故障影片/照片，於線上表單提交 RMA。客服會於工作日內回覆檢測與處理方式。,,
29,電子發票可以重發嗎？,FAQ,電子發票可於會員中心補發下載；抬頭/統編需於下單時填寫，若遺漏請於出貨前聯繫客服協助。,,
30,公司想大量採購可以報價嗎？,FAQ,"您好！JTCG Shop 非常樂意為貴公司提供大量採購的服務。

針對企業/學校/大量採購的需求，我們可以提供專案報價、到府安裝以及教育/企業折扣的評估。為了能更精確地為您評估，請您提供預計的**需求數量**、**安裝地點**以及**期望的時程**，我們將盡快為您處理。",,
31,退貨流程跟退款時程？,FAQ,線上提出申請→包裝回收→檢查完成後辦理退款。退款時程約 7–14 個工作天，依支付方式與銀行作業為準。,,
32,怎麼查物流追蹤？,FAQ,"您好！關於物流追蹤，您可以在出貨後，前往「我的訂單」頁面，點擊訂單中的追蹤碼即可查看最新的配送狀態。

若您發現物流資訊長時間沒有更新，請隨時聯繫我們，我們將會協助您進一步查詢。",,
33,會員點數怎麼用？,FAQ,"您好！JTCG Shop 的會員點數可以在結帳時直接抵用消費金額，非常方便。

請注意，會員點數僅限於消費抵用，無法折換成現金。點數的有效期限與詳細使用規則，請以您在會員中心看到的公告為準。",,
34,臂架保養清潔怎麼做？,FAQ,"您好！關於臂架的保養清潔，建議您使用微濕的布進行擦拭，並請避免使用含有溶劑的清潔劑。

此外，也請您定期檢查臂架的關節與螺絲是否有鬆動的情況，並適度進行調整，以確保臂架的正常使用。",,
35,桌深需要多少？牆距要留多少？,FAQ,"您好！關於桌深與牆距的建議，一般建議桌深至少需要 60 公分，桌面後方則建議保留 10–15 公分的空間，以便走線及臂架活動。

這個空間的預留會受到您的臂展影響可調整的範圍，若您有其他關於夾具安裝的疑問，例如桌後擋板或桌板厚度，也歡迎進一步詢問。",,
36,走線有什麼整理建議？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 桌面走線管理組】（SKU：JTCG-CABLE-MGMT-KIT）

商品連結：https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-CABLE-MGMT-KIT https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-WALL-ARM-34,
37,贈品沒附到可以補寄嗎？,FAQ,您好！關於贈品遺漏補寄的問題，若您收到商品時未含贈品，請於 7 日內提供開箱照片與訂單資訊給我們，客服將會協助您補寄。,,
38,VESA 螺絲規格要用多長？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

2. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

3. 【JTCG 超寬螢幕重載臂（至 49 吋）】（SKU：JTCG-ARM-ULTRAWIDE-49）

商品連結：https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49,
39,能跟電動升降桌一起用嗎？,FAQ,"您好！JTCG Shop 客服 AI 為您服務。

我們的產品可以搭配電動升降桌使用，但請您留意以下幾點，以確保使用順暢：

*   **臂展與走線：** 請確保螢幕支架的臂展足夠，並預留約 10–15cm 的線材鬆弛度，避免在升降桌移動時拉扯到線材。
*   **電源變壓器：** 建議不要讓電源變壓器懸空，妥善固定以防意外。

若您有其他疑問，也歡迎隨時提出。",,
40,桌後有擋板，夾具還能裝嗎？,FAQ,"您好！關於桌後有擋板是否還能安裝夾具的問題，若桌面後緣有擋板或外翻邊，請您先確認夾具的夾持深度與高度是否足夠。

若夾具的夾持深度與高度受到影響，我們建議您考慮改用穿孔固定方式，或是加裝延伸固定片來確保穩固。",,
41,兩台不同尺寸的螢幕可不可以混搭？,FAQ,"您好！關於兩台不同尺寸的螢幕是否可以混搭的問題，答案是「可以」的。

不過，為了確保使用上的穩定性，我們建議您盡量選擇兩側螢幕的重量相近。若您使用的是雙臂支架，請務必分別調整兩側支臂的張力，以確保兩台螢幕都能穩定地懸掛。",,
42,包裝內有附哪些工具和零件？,FAQ,"您好！JTCG Shop 客服 AI 為您服務。

您的商品包裝內，標準配備會包含臂架本體、夾具/穿孔配件，以及一支六角扳手。此外，也會附贈一組 VESA 螺絲，不過螺絲的型號會依據您購買的商品而有所不同。

若您選擇穿孔安裝，可能需要另外準備電鑽與量尺。",,
43,外箱撞到、零件少了怎麼辦？,FAQ,您好！若您收到商品時發現外箱有撞損或零件遺失，請您立即拍攝外箱與內容物的狀況，並連同訂單編號，於 7 日內回報給我們的客服團隊。我們將會盡快協助您處理缺件更換或安排後續的售後事宜。,,
44,下單後想改地址可以嗎？,FAQ,"您好！關於您詢問的下單後修改地址問題，我們很高興為您說明。

在訂單尚未出貨之前，客服人員可以協助您修改收件地址。若訂單已進入出貨流程，則可能需要取消訂單後重新下單，實際情況將以系統狀態為準。

如果您需要修改地址，請盡快透過客服管道聯繫我們，以便我們為您處理。謝謝！",,
45,可以取消訂單嗎？,FAQ,"您好！關於取消訂單的部分，若您的訂單尚未出貨，是可以申請取消的。

若訂單已經出貨，則需要依照退貨流程辦理。退款作業約需 7–14 個工作天，實際時間會依您的支付方式與銀行作業進度而有所不同。",,
46,預購會分批出貨嗎？,FAQ,預購品將依頁面標示時程到貨；若同單含現貨與預購，可能採分批出貨。運費計算與是否合併以結帳頁為準。,,
47,保固需要另外登錄嗎？可以轉移嗎？,FAQ,部分商品提供線上保固登錄；保固通常限原始購買者，不隨轉售轉移。實際以商品頁或憑證說明為準。,,
48,臂架有異音怎麼處理？,FAQ,"您好！關於臂架的異音問題，請您參考以下處理建議：

若臂架發出輕微的金屬摩擦聲，這通常是正常的磨合現象。但如果異音較為明顯，建議您檢查臂架的螺絲是否鎖緊，以及走線是否有與其他部分發生干涉。若情況仍未改善，您可以在關節轉動處少量施加潤滑劑，但請務必注意不要讓潤滑劑沾染到面板。

若您需要進一步的協助，或對保養有疑問，歡迎隨時再向我們提出。",,
49,螺絲、轉接板這些備品能單買嗎？,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
50,如果剛買就降價，會補差嗎？,FAQ,"您好！關於您詢問的「剛買就降價是否補差價」的問題，這將會以活動頁的公告為準。

請注意，若商品在短期內調降價格，我們是否提供補差價，將會依據當時的活動頁面公告為準。不同活動檔期可能會有不同的價格保護政策，敬請留意活動頁面的說明。",,
51,你們會怎麼使用我的 Email？,FAQ,"您好！關於您提供的 Email 使用方式，我們非常重視您的個人資訊安全。

您提供的 Email **僅用於本次服務聯繫與訂單通知**，絕對不會用於任何行銷推廣用途。

若您想了解更多關於我們如何處理您的個人資料的細節，歡迎參考我們的隱私權政策。",,
52,我想查訂單狀態,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
53,幫我查一下配送進度,FAQ,"您好！關於配送進度，您可以在「我的訂單」頁面點擊追蹤碼，即可查看最新的配送狀態。

若您發現配送狀態長時間沒有更新，請隨時聯繫我們，我們將很樂意協助您進一步查詢。",,
54,查訂單 JTCG-202508-10001 的明細,ORDER,基於帳號安全考量，查詢訂單時需要同時提供 user_id（例如：u_123456）。請先提供 user_id，我再幫您查詢。,,
55,我的 user_id 是 u_123456，想看歷史訂單,ORDER,"以下是 user_id「u_123456」名下的訂單：


- 訂單編號 JTCG-202508-10001：狀態 in_transit，預估到貨 2025-08-16，品項：JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）, JTCG 桌面走線管理組
- 訂單編號 JTCG-202507-09012：狀態 delivered，預估到貨 2025-07-26，品項：JTCG 單臂支架 Lite（至 27 吋）

請回覆想要查詢的訂單編號（order_id），我可以再提供更詳盡的物流與品項資訊。",,
56,user_id u_999999，查最近那筆訂單,ORDER,"以下是 user_id「u_999999」名下的訂單：


- 訂單編號 JTCG-202508-11021：狀態 processing，預估到貨 None，品項：JTCG 超寬螢幕重載臂（至 49 吋）

請回覆想要查詢的訂單編號（order_id），我可以再提供更詳盡的物流與品項資訊。",,
57,我要看訂單列表,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
58,請轉真人，我很急,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
59,在線客服在嗎？,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
60,service hours 客服什麼時段有？,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
61,請推薦一款 32 吋可用的單臂,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

3. 【JTCG 雙螢幕氣壓臂 Pro（支援至 32 吋）】（SKU：JTCG-ARM-DUAL-PRO-32）

商品連結：https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27 https://example.com/jtcg/p/JTCG-ARM-DUAL-PRO-32,
62,雙螢幕 + 筆電托盤要怎麼搭配？,FAQ,"您好！關於雙螢幕搭配筆電托盤的使用方式，您可以參考以下建議：

若您的螢幕沒有 VESA 孔，可以搭配 VESA 轉接板或筆電托盤類配件來安裝。在選購托盤或轉接板時，請務必確認其負重與尺寸範圍是否符合您的需求，再進行安裝。

另外，若您是使用雙螢幕臂架，即使螢幕尺寸不同也可以混搭，但建議兩側螢幕的重量盡量相近，以利於臂架的平衡。安裝後，請分別調整各個臂架的張力，確保兩台螢幕都能穩定停駐。",,
63,VESA 200x100 能用哪款？,PRODUCT,"根據您的需求，以下是幾款可能適合的商品：

1. 【JTCG 壁掛式伸縮臂（至 34 吋）】（SKU：JTCG-WALL-ARM-34）

商品連結：https://example.com/jtcg/p/JTCG-WALL-ARM-34

2. 【JTCG 筆電托盤＋VESA 轉接組】（SKU：JTCG-LAPTOP-VESA-KIT）

商品連結：https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT

3. 【JTCG 單臂支架 Lite（至 27 吋）】（SKU：JTCG-ARM-SINGLE-LITE-27）

商品連結：https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27

如果您願意，也可以跟我說螢幕尺寸與重量，我可以再幫您挑出最適合的一款。",https://example.com/jtcg/p/JTCG-WALL-ARM-34 https://example.com/jtcg/p/JTCG-LAPTOP-VESA-KIT https://example.com/jtcg/p/JTCG-ARM-SINGLE-LITE-27,
64,我的桌子是玻璃的，怎麼裝比較安全？,FAQ,"您好！關於您的玻璃桌面安裝問題，為了確保安全與穩定，我們建議您採取以下兩種方式：

1.  **使用墊片：** 在夾具與玻璃桌面之間加裝墊片，可以有效保護桌面不被刮傷，同時增加摩擦力，提升固定效果。
2.  **改用穿孔固定：** 如果您的桌面較厚或有特殊材質考量，穿孔固定方式能提供更佳的穩定性。

若您需要更詳細的安裝說明或有其他疑問，歡迎隨時提出。",,
65,大概多少時間可以安裝完成？,FAQ,"您好！關於安裝完成時間，我們目前提供的資訊是「特定地區提供到府安裝（由合作廠商執行），費用依地區與安裝難度另計」。

建議您在下單前，可以先與我們的客服確認您所在的地區是否支援到府安裝，以及相關的費用與時程安排。",,
66,付款失敗怎麼辦？,FAQ,"您好！關於付款失敗的問題，我們目前系統檢索到的資料主要與到貨時外箱受損或零件缺失的處理方式有關。

若您在付款過程中遇到問題，建議您直接聯繫我們的真人客服，他們將能為您提供最即時與準確的協助。",,
67,可以改成面交嗎？,FAQ,"您好！關於您詢問是否可以面交的問題，我們目前提供的服務是針對訂單修改。

若您希望修改訂單內容（例如地址或品項），只要訂單尚未進入出貨流程，我們都可以由客服協助您處理。若訂單已進入出貨流程，可能需要取消訂單後重新下單，實際情況將以系統狀態為準。

如果您有其他關於訂單修改或面交的疑問，歡迎隨時提出。",,
68,我想知道活動優惠的使用規則,FAQ,每筆訂單限使用一張優惠券；不得與部分專案或企業報價合併使用；活動期間與適用品項以頁面公告為準。,,
69,我需要發票抬頭變更,FAQ,電子發票可於會員中心補發下載；抬頭/統編需於下單時填寫，若遺漏請於出貨前聯繫客服協助。,,
70,客服信箱是多少？,HANDOFF,已了解你需要真人協助，請提供 Email（我們會先驗證格式再轉接）。,,
71,退款多久會到帳？,FAQ,線上提出申請→包裝回收→檢查完成後辦理退款。退款時程約 7–14 個工作天，依支付方式與銀行作業為準。,,
72,How to track my order?,FAQ,"您好！關於訂單追蹤，出貨後您可以在「我的訂單」頁面點擊追蹤碼，即可查看最新的配送狀態。

若您發現訂單長時間沒有更新，請隨時聯繫我們，我們將很樂意協助您查詢。",,
73,Do you ship internationally?,FAQ,"您好！關於國際配送的部分，目前我們主要配送台灣本島，離島/外島的運費與時程會在結帳頁面顯示。

若您有海外配送的需求，建議您可以透過客服管道，我們將為您評估可行的方案與預估費用。",,
74,Need invoice reissue,FAQ,"您好！關於發票重發的需求，電子發票可以透過會員中心補發下載。

若您需要變更發票抬頭或統編，請務必於下單時填寫正確資訊。若有遺漏，請於出貨前盡快聯繫客服協助處理。",,
75,請問台北有安裝服務嗎？,FAQ,"您好！關於您詢問的台北安裝服務，我們有提供特定地區的到府安裝服務，但會由合作廠商執行，費用會依地區與安裝難度另外計算。

建議您在下單前，可以先與我們的客服確認您所在的地區是否支援到府安裝服務，以便我們為您提供更精確的資訊。",,
76,JTCG-ARM-DUAL-PRO-32 有現貨嗎？,ORDER,"To look up an order, please first provide your user_id (for example: u_123456).",,
77,JTCG-ARM-ULTRAWIDE-49 支援 49 吋曲面嗎？,ORDER,"To look up an order, please first provide your user_id (for example: u_123456).",,
78,JTCG-WALL-ARM-34 是否含膨脹螺絲？,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
79,JTCG-LAPTOP-VESA-KIT 能裝 16 吋筆電嗎？,ORDER,"To look up an order, please first provide your user_id (for example: u_123456).",,
80,JTCG-CABLE-MGMT-KIT 裡面有哪些配件？,ORDER,要查訂單請先提供 user_id（例如：u_123456）。回覆 user_id 後我會列出可選的 order_id。,,
81,我桌板 20mm，夾具夠嗎？,FAQ,"您好！關於您的桌板厚度問題，我們的夾具建議安裝於 10–85mm 厚度的桌板。因此，您的 20mm 厚桌板是符合夾具安裝範圍的。

若您的桌板是玻璃或軟木材質，我們建議您可以使用墊片，或是考慮改用穿孔固定方式來確保安裝的穩固性。",,
82,請問保固範圍包含人為損壞嗎？,FAQ,臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。,,
83,有企業合作方案嗎？學校採購也適用？,FAQ,"您好！JTCG Shop 非常樂意為您服務。

關於企業合作方案，我們有提供專案報價、到府安裝以及教育/企業折扣評估的服務。若您有學校採購的需求，同樣適用這些方案。

為了能更精確地為您評估，請您提供預計的採購數量、安裝地點以及期望的時程，我們將盡快為您處理。",,
84,發票什麼時候寄？可在哪裡下載？,FAQ,本店提供電子發票，出貨完成後將以 Email 寄送或於會員中心可下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。,,
85,我不確定要買哪款，你可以問我幾個問題幫我選嗎？,FAQ,"您好！很高興為您服務。

為了協助您挑選最適合的產品，能否請您提供更多關於您的需求資訊呢？例如，您預計採購的數量、希望的安裝地點，以及您期望的時程安排，這些資訊將有助於我們為您提供更精準的建議與報價。",,
